username,sentiment,sentiment
vpostillion21,Negative,100.0
waltchicago,Positive,100.0
wcyoungIII,Negative,100.0
wegreenberg,Negative,100.0
wendimyb,Negative,50.0
wendimyb,Positive,50.0
whaleswarrior,Positive,100.0
wherestrist,Negative,100.0
wino_esq,Positive,100.0
witchywoman1314,Negative,100.0
wordlust,Positive,100.0
worstchrisever,Negative,100.0
wrighthood24,Negative,100.0
yamane_patricia,Negative,100.0
ygg_studios,Negative,100.0
yogaballerina,Positive,100.0
zvonimirtot,Positive,100.0
